,original_index,vehicle_id,trip_start_time,odo,dist_from_loc,charger_proximity
0,8946,18,2025-09-21 05:57:00.294,2635.51,215.5,NEAR_GGN
1,19766,18,2025-09-21 11:29:03.001,2846.5,7.94,NEAR_MZF
2,37654,18,2025-09-21 18:59:00.941,2991.375,178.44,NEAR_DDN
3,45045,18,2025-09-21 22:50:00.709,3119.0,178.02,NEAR_MZF
4,56705,18,2025-09-22 05:55:02.581,3327.25,154.59,NEAR_GGN
5,67056,18,2025-09-22 11:35:00.023,3536.125,128.27,NEAR_MZF
6,80783,18,2025-09-22 16:55:01.928,3662.5,174.27,NEAR_DDN
7,90255,18,2025-09-22 20:43:04.163,3791.125,85.63,NEAR_MZF
8,105820,19,2025-09-21 04:55:00.713,3823.78,231.81,NEAR_DDN
9,112067,19,2025-09-21 08:24:00.301,3953.41,19.69,NEAR_MZF
10,146403,19,2025-09-22 14:32:02.776,4254.125,72.0,NEAR_GGN
11,156568,19,2025-09-22 21:12:01.137,4461.375,9.06,NEAR_MZF
12,161692,19,2025-09-22 23:30:54.926,4587.12,43.04,NEAR_DDN
